filename,psnr,ssim,uciqe,lpips
im_u761_,31.026140213012695,0.9122815132141113,0.4566894471645355,0.0703098401427269
im_u1662_,31.000675201416016,0.9050545692443848,0.47195711731910706,0.10353529453277588
im_u1757_,30.990949630737305,0.892086386680603,0.43042394518852234,0.09466039389371872
im_u1795_,30.971647262573242,0.8709895610809326,0.4389204978942871,0.10951544344425201
im_u710_,30.95962142944336,0.9398922920227051,0.47922712564468384,0.06176857650279999
im_u971_,30.776161193847656,0.8492031097412109,0.4591842293739319,0.11290939897298813
im_u1579_,30.756084442138672,0.927730917930603,0.486233115196228,0.0609009712934494
im_u1832_,30.704246520996094,0.8379867076873779,0.5621576309204102,0.07900892198085785
im_u1450_,30.672292709350586,0.8805633783340454,0.4154618978500366,0.13629908859729767
im_u1032_,30.669836044311523,0.8641254305839539,0.4454060196876526,0.09307857602834702
im_u935_,30.64175796508789,0.8910320997238159,0.4120202660560608,0.10813304781913757
im_u1821_,30.62138557434082,0.8243509531021118,0.5688363313674927,0.09134417772293091
im_u1026_,30.609130859375,0.8311233520507812,0.5204543471336365,0.12348873913288116
im_u830_,30.606645584106445,0.930770993232727,0.46951669454574585,0.06287679076194763
im_u195_,30.598142623901367,0.8641700744628906,0.4887179136276245,0.10549415647983551
im_u2006_,30.594566345214844,0.897061824798584,0.5340395569801331,0.098539799451828
im_u1206_,30.587770462036133,0.8951587677001953,0.40516841411590576,0.0773274302482605
im_u938_,30.5703182220459,0.881934404373169,0.44505074620246887,0.1286134272813797
im_u303_,30.556978225708008,0.8857253789901733,0.428890198469162,0.0967990905046463
im_u750_,30.519489288330078,0.8934866786003113,0.4267052412033081,0.15412890911102295
im_u1257_,30.513498306274414,0.9054715633392334,0.3277788758277893,0.11139364540576935
im_u939_,30.416515350341797,0.8898305296897888,0.45469269156455994,0.14822624623775482
im_u1199_,30.38189697265625,0.8598994016647339,0.45123520493507385,0.09543798118829727
im_u1554_,30.366233825683594,0.8873850703239441,0.4914359450340271,0.12650738656520844
im_u14_,30.32567024230957,0.8884655833244324,0.5710317492485046,0.08396399021148682
im_u816_,30.291229248046875,0.9031825065612793,0.3829020857810974,0.11708647012710571
