filename,psnr,ssim,uciqe,lpips
set_o28,23.677093505859375,0.7227462530136108,0.4202646315097809,0.34282776713371277
set_o29,24.35068702697754,0.7828660011291504,0.32104721665382385,0.45063626766204834
set_o3,17.919628143310547,0.6626487970352173,0.5079402327537537,0.45530810952186584
set_o30,21.69512367248535,0.5830216407775879,0.4080570936203003,0.4272722601890564
set_o31,22.088191986083984,0.7348410487174988,0.43960320949554443,0.30884677171707153
set_o33,23.399879455566406,0.7766026258468628,0.45689594745635986,0.3597395420074463
set_o34,23.949045181274414,0.7826260328292847,0.4638361930847168,0.30851417779922485
set_o36,22.472728729248047,0.7419929504394531,0.4579688310623169,0.31295686960220337
set_o39,23.883424758911133,0.7790820002555847,0.3465725779533386,0.3660222291946411
set_o4,21.689437866210938,0.6055072546005249,0.4300268292427063,0.27856266498565674
set_o40,23.151113510131836,0.7626252174377441,0.43609321117401123,0.38754355907440186
set_o41,23.008487701416016,0.7397880554199219,0.4809921979904175,0.2955586314201355
set_o42,22.501184463500977,0.7006820440292358,0.4097636342048645,0.31571081280708313
set_o43,24.424766540527344,0.7205933928489685,0.48454105854034424,0.4428859055042267
set_o44,25.529212951660156,0.7773874998092651,0.38419997692108154,0.3073887228965759
set_o46,24.430723190307617,0.6992122530937195,0.357477068901062,0.439318984746933
set_o48,26.059059143066406,0.8294808268547058,0.4204748868942261,0.23886363208293915
set_o49,21.530887603759766,0.7210466265678406,0.5225879549980164,0.4213848412036896
set_o5,22.158388137817383,0.6666216850280762,0.45205044746398926,0.2855530381202698
set_o6,25.584627151489258,0.8289434909820557,0.3975207209587097,0.206735759973526
set_o7,22.63408088684082,0.7491373419761658,0.3993195593357086,0.45749104022979736
set_o8,22.420879364013672,0.7365276217460632,0.3046773076057434,0.4348890483379364
set_o9,23.70092010498047,0.78619384765625,0.5343695282936096,0.28071409463882446
set_u0,22.459753036499023,0.776175856590271,0.47598332166671753,0.4097914695739746
set_u1,23.80997657775879,0.7949406504631042,0.43796563148498535,0.272367388010025
set_u10,20.926372528076172,0.6272062063217163,0.4492555260658264,0.34550341963768005
set_u104,23.6771240234375,0.8178574442863464,0.4220806062221527,0.33732229471206665
set_u106,24.7403507232666,0.8006329536437988,0.3885529041290283,0.2799583673477173
set_u11,24.15741539001465,0.7764954566955566,0.35558485984802246,0.3870953917503357
set_u112,23.1248722076416,0.44844532012939453,0.5550215840339661,0.21185344457626343
set_u113,26.292463302612305,0.8879210352897644,0.3754305839538574,0.14310109615325928
set_u116,23.3352108001709,0.7890507578849792,0.36248543858528137,0.48344457149505615
set_u12,22.062646865844727,0.731820285320282,0.39572978019714355,0.34198635816574097
set_u14,21.73286247253418,0.7270945310592651,0.40912142395973206,0.3963548541069031
set_u15,23.070697784423828,0.7783803939819336,0.44574254751205444,0.34095650911331177
set_u16,21.121850967407227,0.62839275598526,0.43201833963394165,0.3888733386993408
set_u164,23.784666061401367,0.7939865589141846,0.346411794424057,0.34868717193603516
set_u17,23.451812744140625,0.7915236949920654,0.42861106991767883,0.30049070715904236
set_u18,23.327190399169922,0.7374059557914734,0.4318857192993164,0.49437397718429565
set_u2,22.54572868347168,0.7704800963401794,0.31514108180999756,0.4251708984375
set_u20,24.35737419128418,0.6838099956512451,0.3940131962299347,0.3022291362285614
set_u21,22.320106506347656,0.7843772172927856,0.4486650824546814,0.22653691470623016
set_u22,22.23357582092285,0.6163105368614197,0.49945563077926636,0.41613906621932983
set_u24,22.3178653717041,0.671252429485321,0.4117177724838257,0.29373258352279663
set_u25,15.960174560546875,0.8069825172424316,0.37169522047042847,0.27253180742263794
set_u27,14.834641456604004,0.7878226041793823,0.3392638564109802,0.2947603464126587
set_u28,25.075641632080078,0.7882061004638672,0.40189921855926514,0.35944074392318726
set_u29,22.384231567382812,0.7690536379814148,0.47495853900909424,0.4159124493598938
set_u30,23.772003173828125,0.7598273158073425,0.4107802212238312,0.3096140921115875
set_u31,20.216886520385742,0.7638091444969177,0.3716885447502136,0.2619417607784271
set_u33,23.89385986328125,0.7506410479545593,0.4386717677116394,0.31646528840065
set_u36,20.943586349487305,0.6585614681243896,0.5358539819717407,0.26403021812438965
set_u37,22.924102783203125,0.7298371195793152,0.3854251205921173,0.33611875772476196
set_u38,23.519149780273438,0.7867967486381531,0.4027305245399475,0.23225516080856323
set_u4,23.1147403717041,0.8585101962089539,0.41276949644088745,0.15734323859214783
set_u40,21.3095760345459,0.6201634407043457,0.42449405789375305,0.2887744605541229
set_u41,26.88865852355957,0.8466760516166687,0.49086055159568787,0.2020639330148697
set_u43,18.08262825012207,0.8540627360343933,0.34056609869003296,0.3015044629573822
set_u45,23.167821884155273,0.7518622279167175,0.40780413150787354,0.37499019503593445
set_u47,23.104387283325195,0.7678412795066833,0.3737216293811798,0.4516569674015045
set_u48,20.737810134887695,0.743813693523407,0.49085110425949097,0.356576144695282
set_u49,25.378145217895508,0.7814034223556519,0.3677753508090973,0.37194156646728516
set_u5,19.436302185058594,0.8213475942611694,0.38055694103240967,0.3655381202697754
set_u6,27.396894454956055,0.7986009120941162,0.43469399213790894,0.2165791094303131
set_u7,22.627593994140625,0.714218020439148,0.4195998013019562,0.3017567992210388
set_u8,23.195068359375,0.7979528307914734,0.4501667320728302,0.19859519600868225
set_u9,20.80971908569336,0.6674236059188843,0.5297297239303589,0.17505265772342682

AVG,22.728987765312194,0.7398154323299726,0.42913190796971323,0.33590902512272197
